character,text,act,scene,line_number,play
THE DUKE OF FLORENCE,"BERTRAM, Count of Rossillon.",ACT V,SCENE III,2909,VENUS AND ADONIS
THE DUKE OF FLORENCE,"LAFEW, an old Lord.",ACT V,SCENE III,2910,VENUS AND ADONIS
THE DUKE OF FLORENCE,"PAROLLES, a follower of Bertram.",ACT V,SCENE III,2911,VENUS AND ADONIS
THE DUKE OF FLORENCE,"Several young French Lords, that serve with Bertram in the Florentine",ACT V,SCENE III,2912,VENUS AND ADONIS
THE DUKE OF FLORENCE,War.,ACT V,SCENE III,2913,VENUS AND ADONIS
THE DUKE OF FLORENCE,"RYNALDO, servant to the Countess of Rossillon.",ACT V,SCENE III,2914,VENUS AND ADONIS
THE DUKE OF FLORENCE,"Clown, servant to the Countess of Rossillon.",ACT V,SCENE III,2915,VENUS AND ADONIS
THE DUKE OF FLORENCE,"A Page, servant to the Countess of Rossillon.",ACT V,SCENE III,2916,VENUS AND ADONIS
THE DUKE OF FLORENCE,"COUNTESS OF ROSSILLON, mother to Bertram.",ACT V,SCENE III,2917,VENUS AND ADONIS
THE DUKE OF FLORENCE,"HELENA, a Gentlewoman protected by the Countess.",ACT V,SCENE III,2918,VENUS AND ADONIS
THE DUKE OF FLORENCE,An old WIDOW of Florence.,ACT V,SCENE III,2919,VENUS AND ADONIS
THE DUKE OF FLORENCE,"DIANA, daughter to the Widow.",ACT V,SCENE III,2920,VENUS AND ADONIS
THE DUKE OF FLORENCE,"VIOLENTA, neighbour and friend to the Widow.",ACT V,SCENE III,2921,VENUS AND ADONIS
THE DUKE OF FLORENCE,"MARIANA, neighbour and friend to the Widow.",ACT V,SCENE III,2922,VENUS AND ADONIS
THE DUKE OF FLORENCE,"Lords attending on the KING; Officers; Soldiers, &c., French and",ACT V,SCENE III,2924,VENUS AND ADONIS
THE DUKE OF FLORENCE,Florentine.,ACT V,SCENE III,2925,VENUS AND ADONIS
THE DUKE OF FLORENCE,"SCENE: Partly in France, and partly in Tuscany.",ACT V,SCENE III,2927,VENUS AND ADONIS
THE DUKE OF FLORENCE,"Enter Bertram, the Countess of Rossillon, Helena, and Lafew, all in",ACT I,SCENE I,2934,VENUS AND ADONIS
THE DUKE OF FLORENCE,black.,ACT I,SCENE I,2935,VENUS AND ADONIS
COUNTESS,"In delivering my son from me, I bury a second husband.",ACT I,SCENE I,2938,VENUS AND ADONIS
BERTRAM,"And I in going, madam, weep o’er my father’s death anew; but I must",ACT I,SCENE I,2941,VENUS AND ADONIS
BERTRAM,"attend his majesty’s command, to whom I am now in ward, evermore in",ACT I,SCENE I,2942,VENUS AND ADONIS
BERTRAM,subjection.,ACT I,SCENE I,2943,VENUS AND ADONIS
LAFEW,"You shall find of the king a husband, madam; you, sir, a father. He",ACT I,SCENE I,2946,VENUS AND ADONIS
LAFEW,"that so generally is at all times good, must of necessity hold his",ACT I,SCENE I,2947,VENUS AND ADONIS
LAFEW,"virtue to you, whose worthiness would stir it up where it wanted,",ACT I,SCENE I,2948,VENUS AND ADONIS
LAFEW,rather than lack it where there is such abundance.,ACT I,SCENE I,2949,VENUS AND ADONIS
COUNTESS,What hope is there of his majesty’s amendment?,ACT I,SCENE I,2952,VENUS AND ADONIS
LAFEW,"He hath abandon’d his physicians, madam; under whose practices he hath",ACT I,SCENE I,2955,VENUS AND ADONIS
LAFEW,"persecuted time with hope, and finds no other advantage in the process",ACT I,SCENE I,2956,VENUS AND ADONIS
LAFEW,but only the losing of hope by time.,ACT I,SCENE I,2957,VENUS AND ADONIS
COUNTESS,"This young gentlewoman had a father—O that “had!”, how sad a passage",ACT I,SCENE I,2960,VENUS AND ADONIS
COUNTESS,’tis!—whose skill was almost as great as his honesty; had it stretch’d,ACT I,SCENE I,2961,VENUS AND ADONIS
COUNTESS,"so far, would have made nature immortal, and death should have play for",ACT I,SCENE I,2962,VENUS AND ADONIS
COUNTESS,lack of work. Would for the king’s sake he were living! I think it,ACT I,SCENE I,2963,VENUS AND ADONIS
COUNTESS,would be the death of the king’s disease.,ACT I,SCENE I,2964,VENUS AND ADONIS
LAFEW,"How called you the man you speak of, madam?",ACT I,SCENE I,2967,VENUS AND ADONIS
COUNTESS,"He was famous, sir, in his profession, and it was his great right to be",ACT I,SCENE I,2970,VENUS AND ADONIS
COUNTESS,so: Gerard de Narbon.,ACT I,SCENE I,2971,VENUS AND ADONIS
LAFEW,"He was excellent indeed, madam; the king very lately spoke of him",ACT I,SCENE I,2974,VENUS AND ADONIS
LAFEW,"admiringly, and mourningly; he was skilful enough to have liv’d still,",ACT I,SCENE I,2975,VENUS AND ADONIS
LAFEW,if knowledge could be set up against mortality.,ACT I,SCENE I,2976,VENUS AND ADONIS
BERTRAM,"What is it, my good lord, the king languishes of?",ACT I,SCENE I,2979,VENUS AND ADONIS
LAFEW,"A fistula, my lord.",ACT I,SCENE I,2982,VENUS AND ADONIS
BERTRAM,I heard not of it before.,ACT I,SCENE I,2985,VENUS AND ADONIS
LAFEW,I would it were not notorious. Was this gentlewoman the daughter of,ACT I,SCENE I,2988,VENUS AND ADONIS
LAFEW,Gerard de Narbon?,ACT I,SCENE I,2989,VENUS AND ADONIS
COUNTESS,"His sole child, my lord, and bequeathed to my overlooking. I have those",ACT I,SCENE I,2992,VENUS AND ADONIS
COUNTESS,hopes of her good that her education promises her dispositions she,ACT I,SCENE I,2993,VENUS AND ADONIS
COUNTESS,"inherits, which makes fair gifts fairer; for where an unclean mind",ACT I,SCENE I,2994,VENUS AND ADONIS
COUNTESS,"carries virtuous qualities, there commendations go with pity, they are",ACT I,SCENE I,2995,VENUS AND ADONIS
COUNTESS,virtues and traitors too. In her they are the better for their,ACT I,SCENE I,2996,VENUS AND ADONIS
COUNTESS,"simpleness; she derives her honesty, and achieves her goodness.",ACT I,SCENE I,2997,VENUS AND ADONIS
LAFEW,"Your commendations, madam, get from her tears.",ACT I,SCENE I,3000,VENUS AND ADONIS
COUNTESS,’Tis the best brine a maiden can season her praise in. The remembrance,ACT I,SCENE I,3003,VENUS AND ADONIS
COUNTESS,of her father never approaches her heart but the tyranny of her sorrows,ACT I,SCENE I,3004,VENUS AND ADONIS
COUNTESS,"takes all livelihood from her cheek. No more of this, Helena; go to, no",ACT I,SCENE I,3005,VENUS AND ADONIS
COUNTESS,"more, lest it be rather thought you affect a sorrow than to have.",ACT I,SCENE I,3006,VENUS AND ADONIS
HELENA,"I do affect a sorrow indeed, but I have it too.",ACT I,SCENE I,3009,VENUS AND ADONIS
LAFEW,Moderate lamentation is the right of the dead; excessive grief the,ACT I,SCENE I,3012,VENUS AND ADONIS
LAFEW,enemy to the living.,ACT I,SCENE I,3013,VENUS AND ADONIS
COUNTESS,"If the living be enemy to the grief, the excess makes it soon mortal.",ACT I,SCENE I,3016,VENUS AND ADONIS
BERTRAM,"Madam, I desire your holy wishes.",ACT I,SCENE I,3019,VENUS AND ADONIS
LAFEW,How understand we that?,ACT I,SCENE I,3022,VENUS AND ADONIS
COUNTESS,"Be thou blest, Bertram, and succeed thy father",ACT I,SCENE I,3025,VENUS AND ADONIS
COUNTESS,"In manners, as in shape! Thy blood and virtue",ACT I,SCENE I,3026,VENUS AND ADONIS
COUNTESS,"Contend for empire in thee, and thy goodness",ACT I,SCENE I,3027,VENUS AND ADONIS
COUNTESS,"Share with thy birthright! Love all, trust a few,",ACT I,SCENE I,3028,VENUS AND ADONIS
COUNTESS,Do wrong to none. Be able for thine enemy,ACT I,SCENE I,3029,VENUS AND ADONIS
COUNTESS,Rather in power than use; and keep thy friend,ACT I,SCENE I,3030,VENUS AND ADONIS
COUNTESS,"Under thy own life’s key. Be check’d for silence,",ACT I,SCENE I,3031,VENUS AND ADONIS
COUNTESS,"But never tax’d for speech. What heaven more will,",ACT I,SCENE I,3032,VENUS AND ADONIS
COUNTESS,"That thee may furnish and my prayers pluck down,",ACT I,SCENE I,3033,VENUS AND ADONIS
COUNTESS,"Fall on thy head! Farewell. My lord,",ACT I,SCENE I,3034,VENUS AND ADONIS
COUNTESS,"’Tis an unseason’d courtier; good my lord,",ACT I,SCENE I,3035,VENUS AND ADONIS
COUNTESS,Advise him.,ACT I,SCENE I,3036,VENUS AND ADONIS
LAFEW,He cannot want the best,ACT I,SCENE I,3039,VENUS AND ADONIS
LAFEW,That shall attend his love.,ACT I,SCENE I,3040,VENUS AND ADONIS
COUNTESS,"Heaven bless him! Farewell, Bertram.",ACT I,SCENE I,3043,VENUS AND ADONIS
BERTRAM,The best wishes that can be forg’d in your thoughts be servants to you!,ACT I,SCENE I,3048,VENUS AND ADONIS
BERTRAM,"[_To Helena._] Be comfortable to my mother, your mistress, and make",ACT I,SCENE I,3049,VENUS AND ADONIS
BERTRAM,much of her.,ACT I,SCENE I,3050,VENUS AND ADONIS
LAFEW,"Farewell, pretty lady, you must hold the credit of your father.",ACT I,SCENE I,3053,VENUS AND ADONIS
HELENA,"O, were that all! I think not on my father,",ACT I,SCENE I,3058,VENUS AND ADONIS
HELENA,And these great tears grace his remembrance more,ACT I,SCENE I,3059,VENUS AND ADONIS
HELENA,Than those I shed for him. What was he like?,ACT I,SCENE I,3060,VENUS AND ADONIS
HELENA,I have forgot him; my imagination,ACT I,SCENE I,3061,VENUS AND ADONIS
HELENA,Carries no favour in’t but Bertram’s.,ACT I,SCENE I,3062,VENUS AND ADONIS
HELENA,"I am undone: there is no living, none,",ACT I,SCENE I,3063,VENUS AND ADONIS
HELENA,If Bertram be away. ’Twere all one,ACT I,SCENE I,3064,VENUS AND ADONIS
HELENA,"That I should love a bright particular star,",ACT I,SCENE I,3065,VENUS AND ADONIS
HELENA,"And think to wed it, he is so above me.",ACT I,SCENE I,3066,VENUS AND ADONIS
HELENA,In his bright radiance and collateral light,ACT I,SCENE I,3067,VENUS AND ADONIS
HELENA,"Must I be comforted, not in his sphere.",ACT I,SCENE I,3068,VENUS AND ADONIS
HELENA,Th’ambition in my love thus plagues itself:,ACT I,SCENE I,3069,VENUS AND ADONIS
HELENA,The hind that would be mated by the lion,ACT I,SCENE I,3070,VENUS AND ADONIS
HELENA,"Must die for love. ’Twas pretty, though a plague,",ACT I,SCENE I,3071,VENUS AND ADONIS
HELENA,To see him every hour; to sit and draw,ACT I,SCENE I,3072,VENUS AND ADONIS
HELENA,"His arched brows, his hawking eye, his curls,",ACT I,SCENE I,3073,VENUS AND ADONIS
HELENA,"In our heart’s table,—heart too capable",ACT I,SCENE I,3074,VENUS AND ADONIS
HELENA,Of every line and trick of his sweet favour.,ACT I,SCENE I,3075,VENUS AND ADONIS
HELENA,"But now he’s gone, and my idolatrous fancy",ACT I,SCENE I,3076,VENUS AND ADONIS
HELENA,Must sanctify his relics. Who comes here?,ACT I,SCENE I,3077,VENUS AND ADONIS
HELENA,Enter Parolles.,ACT I,SCENE I,3079,VENUS AND ADONIS
HELENA,"One that goes with him: I love him for his sake,",ACT I,SCENE I,3081,VENUS AND ADONIS
HELENA,"And yet I know him a notorious liar,",ACT I,SCENE I,3082,VENUS AND ADONIS
HELENA,"Think him a great way fool, solely a coward;",ACT I,SCENE I,3083,VENUS AND ADONIS
HELENA,Yet these fix’d evils sit so fit in him,ACT I,SCENE I,3084,VENUS AND ADONIS
HELENA,That they take place when virtue’s steely bones,ACT I,SCENE I,3085,VENUS AND ADONIS
HELENA,"Looks bleak i’ th’ cold wind: withal, full oft we see",ACT I,SCENE I,3086,VENUS AND ADONIS
HELENA,Cold wisdom waiting on superfluous folly.,ACT I,SCENE I,3087,VENUS AND ADONIS
PAROLLES,"Save you, fair queen!",ACT I,SCENE I,3090,VENUS AND ADONIS
HELENA,"And you, monarch!",ACT I,SCENE I,3093,VENUS AND ADONIS
PAROLLES,No.,ACT I,SCENE I,3096,VENUS AND ADONIS
HELENA,And no.,ACT I,SCENE I,3099,VENUS AND ADONIS
PAROLLES,Are you meditating on virginity?,ACT I,SCENE I,3102,VENUS AND ADONIS
HELENA,Ay. You have some stain of soldier in you; let me ask you a question.,ACT I,SCENE I,3105,VENUS AND ADONIS
HELENA,Man is enemy to virginity; how may we barricado it against him?,ACT I,SCENE I,3106,VENUS AND ADONIS
PAROLLES,Keep him out.,ACT I,SCENE I,3109,VENUS AND ADONIS
HELENA,"But he assails; and our virginity, though valiant, in the defence, yet",ACT I,SCENE I,3112,VENUS AND ADONIS
HELENA,is weak. Unfold to us some warlike resistance.,ACT I,SCENE I,3113,VENUS AND ADONIS
PAROLLES,There is none. Man setting down before you will undermine you and blow,ACT I,SCENE I,3116,VENUS AND ADONIS
PAROLLES,you up.,ACT I,SCENE I,3117,VENUS AND ADONIS
HELENA,Bless our poor virginity from underminers and blowers-up! Is there no,ACT I,SCENE I,3120,VENUS AND ADONIS
HELENA,military policy how virgins might blow up men?,ACT I,SCENE I,3121,VENUS AND ADONIS
PAROLLES,"Virginity being blown down, man will quicklier be blown up; marry, in",ACT I,SCENE I,3124,VENUS AND ADONIS
PAROLLES,"blowing him down again, with the breach yourselves made, you lose your",ACT I,SCENE I,3125,VENUS AND ADONIS
PAROLLES,city. It is not politic in the commonwealth of nature to preserve,ACT I,SCENE I,3126,VENUS AND ADONIS
PAROLLES,"virginity. Loss of virginity is rational increase, and there was never",ACT I,SCENE I,3127,VENUS AND ADONIS
PAROLLES,virgin got till virginity was first lost. That you were made of is,ACT I,SCENE I,3128,VENUS AND ADONIS
PAROLLES,"metal to make virgins. Virginity, by being once lost, may be ten times",ACT I,SCENE I,3129,VENUS AND ADONIS
PAROLLES,"found; by being ever kept, it is ever lost. ’Tis too cold a companion.",ACT I,SCENE I,3130,VENUS AND ADONIS
PAROLLES,Away with it!,ACT I,SCENE I,3131,VENUS AND ADONIS
HELENA,"I will stand for’t a little, though therefore I die a virgin.",ACT I,SCENE I,3134,VENUS AND ADONIS
PAROLLES,There’s little can be said in’t; ’tis against the rule of nature. To,ACT I,SCENE I,3137,VENUS AND ADONIS
PAROLLES,speak on the part of virginity is to accuse your mothers; which is most,ACT I,SCENE I,3138,VENUS AND ADONIS
PAROLLES,infallible disobedience. He that hangs himself is a virgin: virginity,ACT I,SCENE I,3139,VENUS AND ADONIS
PAROLLES,"murders itself, and should be buried in highways out of all sanctified",ACT I,SCENE I,3140,VENUS AND ADONIS
PAROLLES,"limit, as a desperate offendress against nature. Virginity breeds",ACT I,SCENE I,3141,VENUS AND ADONIS
PAROLLES,"mites, much like a cheese; consumes itself to the very paring, and so",ACT I,SCENE I,3142,VENUS AND ADONIS
PAROLLES,"dies with feeding his own stomach. Besides, virginity is peevish,",ACT I,SCENE I,3143,VENUS AND ADONIS
PAROLLES,"proud, idle, made of self-love, which is the most inhibited sin in the",ACT I,SCENE I,3144,VENUS AND ADONIS
PAROLLES,canon. Keep it not; you cannot choose but lose by’t. Out with’t! Within,ACT I,SCENE I,3145,VENUS AND ADONIS
PAROLLES,"the year it will make itself two, which is a goodly increase, and the",ACT I,SCENE I,3146,VENUS AND ADONIS
PAROLLES,principal itself not much the worse. Away with it!,ACT I,SCENE I,3147,VENUS AND ADONIS
HELENA,"How might one do, sir, to lose it to her own liking?",ACT I,SCENE I,3150,VENUS AND ADONIS
PAROLLES,"Let me see. Marry, ill, to like him that ne’er it likes. ’Tis a",ACT I,SCENE I,3153,VENUS AND ADONIS
PAROLLES,"commodity will lose the gloss with lying; the longer kept, the less",ACT I,SCENE I,3154,VENUS AND ADONIS
PAROLLES,worth. Off with’t while ’tis vendible; answer the time of request.,ACT I,SCENE I,3155,VENUS AND ADONIS
PAROLLES,"Virginity, like an old courtier, wears her cap out of fashion, richly",ACT I,SCENE I,3156,VENUS AND ADONIS
PAROLLES,"suited, but unsuitable, just like the brooch and the toothpick, which",ACT I,SCENE I,3157,VENUS AND ADONIS
PAROLLES,wear not now. Your date is better in your pie and your porridge than in,ACT I,SCENE I,3158,VENUS AND ADONIS
PAROLLES,"your cheek. And your virginity, your old virginity, is like one of our",ACT I,SCENE I,3159,VENUS AND ADONIS
PAROLLES,"French wither’d pears; it looks ill, it eats drily; marry, ’tis a",ACT I,SCENE I,3160,VENUS AND ADONIS
PAROLLES,"wither’d pear; it was formerly better; marry, yet ’tis a wither’d pear.",ACT I,SCENE I,3161,VENUS AND ADONIS
PAROLLES,Will you anything with it?,ACT I,SCENE I,3162,VENUS AND ADONIS
HELENA,Not my virginity yet.,ACT I,SCENE I,3165,VENUS AND ADONIS
HELENA,"There shall your master have a thousand loves,",ACT I,SCENE I,3166,VENUS AND ADONIS
HELENA,"A mother, and a mistress, and a friend,",ACT I,SCENE I,3167,VENUS AND ADONIS
HELENA,"A phoenix, captain, and an enemy,",ACT I,SCENE I,3168,VENUS AND ADONIS
HELENA,"A guide, a goddess, and a sovereign,",ACT I,SCENE I,3169,VENUS AND ADONIS
HELENA,"A counsellor, a traitress, and a dear:",ACT I,SCENE I,3170,VENUS AND ADONIS
HELENA,"His humble ambition, proud humility,",ACT I,SCENE I,3171,VENUS AND ADONIS
HELENA,"His jarring concord, and his discord dulcet,",ACT I,SCENE I,3172,VENUS AND ADONIS
HELENA,"His faith, his sweet disaster; with a world",ACT I,SCENE I,3173,VENUS AND ADONIS
HELENA,"Of pretty, fond, adoptious christendoms",ACT I,SCENE I,3174,VENUS AND ADONIS
HELENA,That blinking Cupid gossips. Now shall he—,ACT I,SCENE I,3175,VENUS AND ADONIS
HELENA,I know not what he shall. God send him well!,ACT I,SCENE I,3176,VENUS AND ADONIS
HELENA,The court’s a learning-place; and he is one.,ACT I,SCENE I,3177,VENUS AND ADONIS
PAROLLES,"What one, i’ faith?",ACT I,SCENE I,3180,VENUS AND ADONIS
HELENA,That I wish well. ’Tis pity—,ACT I,SCENE I,3183,VENUS AND ADONIS
PAROLLES,What’s pity?,ACT I,SCENE I,3186,VENUS AND ADONIS
HELENA,That wishing well had not a body in’t,ACT I,SCENE I,3189,VENUS AND ADONIS
HELENA,"Which might be felt, that we, the poorer born,",ACT I,SCENE I,3190,VENUS AND ADONIS
HELENA,"Whose baser stars do shut us up in wishes,",ACT I,SCENE I,3191,VENUS AND ADONIS
HELENA,"Might with effects of them follow our friends,",ACT I,SCENE I,3192,VENUS AND ADONIS
HELENA,"And show what we alone must think, which never",ACT I,SCENE I,3193,VENUS AND ADONIS
HELENA,Returns us thanks.,ACT I,SCENE I,3194,VENUS AND ADONIS
HELENA,Enter a Page.,ACT I,SCENE I,3196,VENUS AND ADONIS
PAGE,"Monsieur Parolles, my lord calls for you.",ACT I,SCENE I,3199,VENUS AND ADONIS
PAROLLES,"Little Helen, farewell. If I can remember thee, I will think of thee at",ACT I,SCENE I,3204,VENUS AND ADONIS
PAROLLES,court.,ACT I,SCENE I,3205,VENUS AND ADONIS
HELENA,"Monsieur Parolles, you were born under a charitable star.",ACT I,SCENE I,3208,VENUS AND ADONIS
PAROLLES,"Under Mars, I.",ACT I,SCENE I,3211,VENUS AND ADONIS
HELENA,"I especially think, under Mars.",ACT I,SCENE I,3214,VENUS AND ADONIS
PAROLLES,Why under Mars?,ACT I,SCENE I,3217,VENUS AND ADONIS
HELENA,"The wars hath so kept you under, that you must needs be born under",ACT I,SCENE I,3220,VENUS AND ADONIS
HELENA,Mars.,ACT I,SCENE I,3221,VENUS AND ADONIS
PAROLLES,When he was predominant.,ACT I,SCENE I,3224,VENUS AND ADONIS
HELENA,"When he was retrograde, I think rather.",ACT I,SCENE I,3227,VENUS AND ADONIS
PAROLLES,Why think you so?,ACT I,SCENE I,3230,VENUS AND ADONIS
HELENA,You go so much backward when you fight.,ACT I,SCENE I,3233,VENUS AND ADONIS
PAROLLES,That’s for advantage.,ACT I,SCENE I,3236,VENUS AND ADONIS
HELENA,"So is running away, when fear proposes the safety: but the composition",ACT I,SCENE I,3239,VENUS AND ADONIS
HELENA,"that your valour and fear makes in you is a virtue of a good wing, and",ACT I,SCENE I,3240,VENUS AND ADONIS
HELENA,I like the wear well.,ACT I,SCENE I,3241,VENUS AND ADONIS
PAROLLES,I am so full of business I cannot answer thee acutely. I will return,ACT I,SCENE I,3244,VENUS AND ADONIS
PAROLLES,perfect courtier; in the which my instruction shall serve to naturalize,ACT I,SCENE I,3245,VENUS AND ADONIS
PAROLLES,"thee, so thou wilt be capable of a courtier’s counsel, and understand",ACT I,SCENE I,3246,VENUS AND ADONIS
PAROLLES,what advice shall thrust upon thee; else thou diest in thine,ACT I,SCENE I,3247,VENUS AND ADONIS
PAROLLES,"unthankfulness, and thine ignorance makes thee away. Farewell. When",ACT I,SCENE I,3248,VENUS AND ADONIS
PAROLLES,"thou hast leisure, say thy prayers; when thou hast none, remember thy",ACT I,SCENE I,3249,VENUS AND ADONIS
PAROLLES,"friends. Get thee a good husband, and use him as he uses thee. So,",ACT I,SCENE I,3250,VENUS AND ADONIS
PAROLLES,farewell.,ACT I,SCENE I,3251,VENUS AND ADONIS
HELENA,"Our remedies oft in ourselves do lie,",ACT I,SCENE I,3256,VENUS AND ADONIS
HELENA,Which we ascribe to heaven: the fated sky,ACT I,SCENE I,3257,VENUS AND ADONIS
HELENA,Gives us free scope; only doth backward pull,ACT I,SCENE I,3258,VENUS AND ADONIS
HELENA,Our slow designs when we ourselves are dull.,ACT I,SCENE I,3259,VENUS AND ADONIS
HELENA,"What power is it which mounts my love so high,",ACT I,SCENE I,3260,VENUS AND ADONIS
HELENA,"That makes me see, and cannot feed mine eye?",ACT I,SCENE I,3261,VENUS AND ADONIS
HELENA,The mightiest space in fortune nature brings,ACT I,SCENE I,3262,VENUS AND ADONIS
HELENA,"To join like likes, and kiss like native things.",ACT I,SCENE I,3263,VENUS AND ADONIS
HELENA,Impossible be strange attempts to those,ACT I,SCENE I,3264,VENUS AND ADONIS
HELENA,"That weigh their pains in sense, and do suppose",ACT I,SCENE I,3265,VENUS AND ADONIS
HELENA,What hath been cannot be. Who ever strove,ACT I,SCENE I,3266,VENUS AND ADONIS
HELENA,To show her merit that did miss her love?,ACT I,SCENE I,3267,VENUS AND ADONIS
HELENA,"The king’s disease,—my project may deceive me,",ACT I,SCENE I,3268,VENUS AND ADONIS
HELENA,"But my intents are fix’d, and will not leave me.",ACT I,SCENE I,3269,VENUS AND ADONIS
HELENA,"Flourish of cornets. Enter the King of France, with letters; Lords and",ACT I,SCENE II,3275,VENUS AND ADONIS
HELENA,others attending.,ACT I,SCENE II,3276,VENUS AND ADONIS
KING,The Florentines and Senoys are by th’ ears;,ACT I,SCENE II,3279,VENUS AND ADONIS
KING,"Have fought with equal fortune, and continue",ACT I,SCENE II,3280,VENUS AND ADONIS
KING,A braving war.,ACT I,SCENE II,3281,VENUS AND ADONIS
FIRST LORD,"So ’tis reported, sir.",ACT I,SCENE II,3284,VENUS AND ADONIS
KING,"Nay, ’tis most credible, we here receive it,",ACT I,SCENE II,3287,VENUS AND ADONIS
KING,"A certainty, vouch’d from our cousin Austria,",ACT I,SCENE II,3288,VENUS AND ADONIS
KING,"With caution, that the Florentine will move us",ACT I,SCENE II,3289,VENUS AND ADONIS
KING,For speedy aid; wherein our dearest friend,ACT I,SCENE II,3290,VENUS AND ADONIS
KING,"Prejudicates the business, and would seem",ACT I,SCENE II,3291,VENUS AND ADONIS
KING,To have us make denial.,ACT I,SCENE II,3292,VENUS AND ADONIS
FIRST LORD,"His love and wisdom,",ACT I,SCENE II,3295,VENUS AND ADONIS
FIRST LORD,"Approv’d so to your majesty, may plead",ACT I,SCENE II,3296,VENUS AND ADONIS
FIRST LORD,For amplest credence.,ACT I,SCENE II,3297,VENUS AND ADONIS
KING,"He hath arm’d our answer,",ACT I,SCENE II,3300,VENUS AND ADONIS
KING,And Florence is denied before he comes:,ACT I,SCENE II,3301,VENUS AND ADONIS
KING,"Yet, for our gentlemen that mean to see",ACT I,SCENE II,3302,VENUS AND ADONIS
KING,"The Tuscan service, freely have they leave",ACT I,SCENE II,3303,VENUS AND ADONIS
KING,To stand on either part.,ACT I,SCENE II,3304,VENUS AND ADONIS
SECOND LORD,It well may serve,ACT I,SCENE II,3307,VENUS AND ADONIS
SECOND LORD,"A nursery to our gentry, who are sick",ACT I,SCENE II,3308,VENUS AND ADONIS
SECOND LORD,For breathing and exploit.,ACT I,SCENE II,3309,VENUS AND ADONIS
KING,What’s he comes here?,ACT I,SCENE II,3312,VENUS AND ADONIS
KING,"Enter Bertram, Lafew and Parolles.",ACT I,SCENE II,3314,VENUS AND ADONIS
FIRST LORD,"It is the Count Rossillon, my good lord,",ACT I,SCENE II,3317,VENUS AND ADONIS
FIRST LORD,Young Bertram.,ACT I,SCENE II,3318,VENUS AND ADONIS
KING,"Youth, thou bear’st thy father’s face;",ACT I,SCENE II,3321,VENUS AND ADONIS
KING,"Frank nature, rather curious than in haste,",ACT I,SCENE II,3322,VENUS AND ADONIS
KING,Hath well compos’d thee. Thy father’s moral parts,ACT I,SCENE II,3323,VENUS AND ADONIS
KING,Mayst thou inherit too! Welcome to Paris.,ACT I,SCENE II,3324,VENUS AND ADONIS
BERTRAM,My thanks and duty are your majesty’s.,ACT I,SCENE II,3327,VENUS AND ADONIS
KING,"I would I had that corporal soundness now,",ACT I,SCENE II,3330,VENUS AND ADONIS
KING,As when thy father and myself in friendship,ACT I,SCENE II,3331,VENUS AND ADONIS
KING,First tried our soldiership. He did look far,ACT I,SCENE II,3332,VENUS AND ADONIS
KING,"Into the service of the time, and was",ACT I,SCENE II,3333,VENUS AND ADONIS
KING,"Discipled of the bravest. He lasted long,",ACT I,SCENE II,3334,VENUS AND ADONIS
KING,"But on us both did haggish age steal on,",ACT I,SCENE II,3335,VENUS AND ADONIS
KING,And wore us out of act. It much repairs me,ACT I,SCENE II,3336,VENUS AND ADONIS
KING,To talk of your good father; in his youth,ACT I,SCENE II,3337,VENUS AND ADONIS
KING,He had the wit which I can well observe,ACT I,SCENE II,3338,VENUS AND ADONIS
KING,Today in our young lords; but they may jest,ACT I,SCENE II,3339,VENUS AND ADONIS
KING,Till their own scorn return to them unnoted,ACT I,SCENE II,3340,VENUS AND ADONIS
KING,Ere they can hide their levity in honour,ACT I,SCENE II,3341,VENUS AND ADONIS
KING,"So like a courtier, contempt nor bitterness",ACT I,SCENE II,3342,VENUS AND ADONIS
KING,"Were in his pride or sharpness; if they were,",ACT I,SCENE II,3343,VENUS AND ADONIS
KING,"His equal had awak’d them, and his honour,",ACT I,SCENE II,3344,VENUS AND ADONIS
KING,"Clock to itself, knew the true minute when",ACT I,SCENE II,3345,VENUS AND ADONIS
KING,"Exception bid him speak, and at this time",ACT I,SCENE II,3346,VENUS AND ADONIS
KING,His tongue obey’d his hand. Who were below him,ACT I,SCENE II,3347,VENUS AND ADONIS
KING,"He us’d as creatures of another place,",ACT I,SCENE II,3348,VENUS AND ADONIS
KING,"And bow’d his eminent top to their low ranks,",ACT I,SCENE II,3349,VENUS AND ADONIS
KING,"Making them proud of his humility,",ACT I,SCENE II,3350,VENUS AND ADONIS
KING,In their poor praise he humbled. Such a man,ACT I,SCENE II,3351,VENUS AND ADONIS
KING,Might be a copy to these younger times;,ACT I,SCENE II,3352,VENUS AND ADONIS
KING,"Which, followed well, would demonstrate them now",ACT I,SCENE II,3353,VENUS AND ADONIS
KING,But goers backward.,ACT I,SCENE II,3354,VENUS AND ADONIS
BERTRAM,"His good remembrance, sir,",ACT I,SCENE II,3357,VENUS AND ADONIS
BERTRAM,Lies richer in your thoughts than on his tomb;,ACT I,SCENE II,3358,VENUS AND ADONIS
BERTRAM,So in approof lives not his epitaph,ACT I,SCENE II,3359,VENUS AND ADONIS
BERTRAM,As in your royal speech.,ACT I,SCENE II,3360,VENUS AND ADONIS
KING,"Would I were with him! He would always say,—",ACT I,SCENE II,3363,VENUS AND ADONIS
KING,Methinks I hear him now; his plausive words,ACT I,SCENE II,3364,VENUS AND ADONIS
KING,"He scatter’d not in ears, but grafted them",ACT I,SCENE II,3365,VENUS AND ADONIS
